solute_MolWt,solvent_MolWt,solvent_FractionCSP3,solvent_HeavyAtomCount,solvent_FractionCSP3,solvent_HeavyAtomCount,solvent_NHOHCount,solvent_NOCount,solvent_NumAliphaticCarbocycles,solvent_NumAliphaticHeterocycles,solvent_NumAliphaticRings,solvent_NumAromaticCarbocycles,solvent_NumAromaticHeterocycles,solvent_NumAromaticRings,solvent_NumHAcceptors,solvent_NumHDonors,solvent_NumHeteroatoms,solvent_NumRotatableBonds,solvent_NumSaturatedCarbocycles,solvent_NumSaturatedHeterocycles,solvent_NumSaturatedRings,solvent_RingCount,solvent_MolLogP,solvent_MolMR,solute,solute_SMILES,solvent,solvent_SMILES,concentration_M,Log_concentration,liquid at room temp_Y/N,csid,identifier,notes
312.208930136,130.135765196,1.0,9.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,2.3392,40.4618,(-)-levonorgestrel,O=C4\C=C3/[C@@H]([C@H]2CC[C@]1([C@@H](CC[C@]1(C#C)O)[C@@H]2CC3)CC)CC4,1-octanol,OCCCCCCCC,0.0147910839,-1.8299999994621508,n,12560,REF1283,
312.208930136,130.135765196,1.0,9.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,2.3392,40.4618,(-)-levonorgestrel,O=C4\C=C3/[C@@H]([C@H]2CC[C@]1([C@@H](CC[C@]1(C#C)O)[C@@H]2CC3)CC)CC4,1-octanol,OCCCCCCCC,0.014791083881682,-1.830000000000002,n,12560,REF1308-Abraham M.H. and Acree Jr. W.E. The solubility of liquid and solid compounds in dry octan-1-ol. Chemosphere (2013),25C
215.050177,72.057514876,1.0,5.0,1.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.7968000000000001,20.053,(E)-1-(4-Chlorophenyl)-N-phenylmethanimine,ClC1=CC=C(C=C1)C=NC2=CC=CC=C2,THF,O1CCCC1,3.149,0.4981726606365439,,208587,ONS272,23C
151.136099544,46.041864812,1.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0014,12.759800000000002,1-adamantylamine,C1C2CC3CC1CC(C2)(C3)N,ethanol,OCC,0.82,-0.0861861476162833,n,2045,ONSC14-2-,
151.136099544,32.026214748,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.3914999999999999,8.142800000000001,1-adamantylamine,C1C2CC3CC1CC(C2)(C3)N,methanol,OC,0.36,-0.4436974992327127,n,2045,ONSC14-4-,
128.033425368,60.057514876,1.0,4.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3887,17.376800000000003,1-H-tetrazole-1-acetic acid,O=C(O)Cn1nnnc1,1-propanol,CCCO,0.61519830174927,-0.2109848720719356,n,472932,REF1222,
128.033425368,60.057514876,1.0,4.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3871,17.354800000000004,1-H-tetrazole-1-acetic acid,O=C(O)Cn1nnnc1,2-propanol,CC(C)O,0.64892405854963,-0.1878061242822107,n,472932,REF1222,
128.033425368,58.041864812,0.6666666666666666,4.0,0.6666666666666666,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5952999999999999,16.355,1-H-tetrazole-1-acetic acid,O=C(O)Cn1nnnc1,acetone,CC(=O)C,1.5372660288039,0.1867490300528664,n,472932,REF1222,
128.033425368,116.083729624,0.8333333333333334,8.0,0.8333333333333334,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.3496,31.540999999999983,1-H-tetrazole-1-acetic acid,O=C(O)Cn1nnnc1,butyl acetate,CCCCOC(=O)C,0.042236834102954,-1.374308642158563,n,472932,REF1222,
128.033425368,46.041864812,1.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0014,12.759800000000002,1-H-tetrazole-1-acetic acid,O=C(O)Cn1nnnc1,ethanol,CCO,1.4814974286025,0.1707009020228102,n,472932,REF1222,
